slug,org,name,url,calendar,expect,check,archive,parse,status,public,parent,runner,added
coa-east-austin-historic-resource-survey,CoA,East Austin Historic Resource Survey,https://www.speakupaustin.org/eastaustinsurvey,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-east-austin-parking-survey,CoA,East Austin Parking: Community survey questions,https://publicinput.com/East-Austin-Parking,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-east-riverside-corridor-planning,CoA,East Riverside Corridor Planning Initiative,https://www.speakupaustin.org/ERCPlanning,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-etod-overlay-phase-2,CoA,Equitable Transit-Oriented Development (ETOD) Overlay Phase 2,https://www.speakupaustin.org/etodoverlayphase2,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-great-streets-plan-update,CoA,Great Streets Plan Update,https://www.speakupaustin.org/GreatStreetsUpdate,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-green-infrastructure-initiative,CoA,Green Infrastructure Initiative,https://www.speakupaustin.org/greeninfrastructure,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-grove-riverside-site,CoA,Grove-Riverside Site,https://www.speakupaustin.org/Grove-Riverside,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-i35-central-samp,CoA,I-35 Central Small Area Mobility Plan,https://www.speakupaustin.org/i35samp,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-imagine-austin-update,CoA,Imagine Austin Update,https://www.speakupaustin.org/imagineaustin,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-northeast-district-plan,CoA,Northeast District Plan,https://www.speakupaustin.org/northeastdistrict,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-our-future-35,CoA,Our Future 35,https://www.speakupaustin.org/of35,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-shape-austins-2026-bond,CoA,Shape Austin's 2026 Bond,https://speakupaustin.org/bond2026,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-urban-trails-wayfinding-survey,CoA,Urban Trails Wayfinding Survey,https://www.speakupaustin.org/m45528,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-austin-energy-resource-generation-plan-2035,CoA,"Austin Energy Resource, Generation and Climate Protection Plan 2035",https://publicinput.com/generation,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-all-ages-abilities-bicycle-network,CoA,All Ages and Abilities Bicycle Priority Network,https://storymaps.arcgis.com/stories/564b8e6d18aa4dd49863c1fc98e31535,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-02
coa-mokan-trail,CoA,MoKan Trail,https://data.austintexas.gov/stories/s/MoKan-Trail/9h7i-xcr8/,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-02
coa-shaping-economic-development-policy,CoA,Shaping Austin's Economic Development Policy,https://www.austintexas.gov/AustinEconomicPolicy,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-05
coa-transit-enhancement-infrastructure-report,CoA,Transit Enhancement Infrastructure Report,https://www.austintexas.gov/transportation-public-works/transit-enhancement-infrastructure-report,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-02
coa-urban-trails-plan,CoA,Urban Trails Plan,https://www.austintexas.gov/transportation-public-works/urban-trails-plan,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
coa-airport-corridor,CoA,Airport Corridor Webpage,https://experience.arcgis.com/experience/e937439aa3ce44b6b95172e2ae119cb7/page/Home,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-02
capmetro-rail-and-trail-improvements,CapMetro,Rail and Trail Improvements,https://publicinput.com/railandtrails,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
capmetro-rail-improvements,CapMetro,Rail Improvements,https://publicinput.com/CapMetroRailImprovements,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-01
capmetro-rail-trail-navasota-e7th,CapMetro,Rail and Trail Improvements: Navasota St to E 7th St,https://storymaps.arcgis.com/stories/0c07fae43ac848358a6aa63a3be27d7a,,sporadic,every 3 days,yes,none,active,yes,capmetro-rail-and-trail-improvements,mac,2026-09-02
capmetro-red-line-trail-study,CapMetro,Red Line Trail Study,https://storymaps.arcgis.com/stories/476619a08688420b8132a2f3fbb496e2,,sporadic,every 3 days,yes,none,active,yes,,mac,2026-09-02
